Player1,Player2,Relationship
Iowa Coalition Against Domestic Violence,G DSM Partnership/ Cap Crossroads,0
Iowa Coalition agains Sexual Assault,G DSM Partnership/ Cap Crossroads,0
IFA,G DSM Partnership/ Cap Crossroads,0
Iowa Legal Aid,G DSM Partnership/ Cap Crossroads,0
Iowa HCR,G DSM Partnership/ Cap Crossroads,0
Latinas Unidas,G DSM Partnership/ Cap Crossroads,0
LSI,G DSM Partnership/ Cap Crossroads,0
Monsoon,G DSM Partnership/ Cap Crossroads,0
NFC,G DSM Partnership/ Cap Crossroads,1
Neighborhood Associations,G DSM Partnership/ Cap Crossroads,0
Primary HC,G DSM Partnership/ Cap Crossroads,0
PCHTF,G DSM Partnership/ Cap Crossroads,2
PCHC,G DSM Partnership/ Cap Crossroads,1
Rebuilding,G DSM Partnership/ Cap Crossroads,0
The Tomorrow Plan,G DSM Partnership/ Cap Crossroads,0
USCRI,G DSM Partnership/ Cap Crossroads,1
United Way,G DSM Partnership/ Cap Crossroads,0
Urban Dreams,G DSM Partnership/ Cap Crossroads,0
YMCA,G DSM Partnership/ Cap Crossroads,0
YESS,G DSM Partnership/ Cap Crossroads,0
Hope Ministries,Hawthorn Hill,1
HOME Inc.,Hawthorn Hill,2
House of Mercy,Hawthorn Hill,1
Iowa Coalition Against Domestic Violence,Hawthorn Hill,0
Iowa Coalition agains Sexual Assault,Hawthorn Hill,0
IFA,Hawthorn Hill,1
Iowa Legal Aid,Hawthorn Hill,1
Iowa HCR,Hawthorn Hill,0
Latinas Unidas,Hawthorn Hill,0
LSI,Hawthorn Hill,1
Monsoon,Hawthorn Hill,0
NFC,Hawthorn Hill,0
Neighborhood Associations,Hawthorn Hill,0
Primary HC,Hawthorn Hill,2
PCHTF,Hawthorn Hill,2
PCHC,Hawthorn Hill,2
Rebuilding,Hawthorn Hill,0
The Tomorrow Plan,Hawthorn Hill,0
USCRI,Hawthorn Hill,0
United Way,Hawthorn Hill,1
Urban Dreams,Hawthorn Hill,1
YMCA,Hawthorn Hill,0
YESS,Hawthorn Hill,1
HOME Inc.,Hope Ministries,1
House of Mercy,Hope Ministries,0
Iowa Coalition Against Domestic Violence,Hope Ministries,0
Iowa Coalition agains Sexual Assault,Hope Ministries,0
IFA,Hope Ministries,0
Iowa Legal Aid,Hope Ministries,0
Iowa HCR,Hope Ministries,0
Latinas Unidas,Hope Ministries,0
LSI,Hope Ministries,0
Monsoon,Hope Ministries,0
NFC,Hope Ministries,0
Neighborhood Associations,Hope Ministries,0
Primary HC,Hope Ministries,1
PCHTF,Hope Ministries,1
PCHC,Hope Ministries,1
Rebuilding,Hope Ministries,0
The Tomorrow Plan,Hope Ministries,0
USCRI,Hope Ministries,0
United Way,Hope Ministries,0
Urban Dreams,Hope Ministries,0
YMCA,Hope Ministries,1
YESS,Hope Ministries,0
House of Mercy,HOME Inc.,2
Iowa Coalition Against Domestic Violence,HOME Inc.,1
Iowa Coalition agains Sexual Assault,HOME Inc.,0
IFA,HOME Inc.,1
Iowa Legal Aid,HOME Inc.,2
Iowa HCR,HOME Inc.,1
Latinas Unidas,HOME Inc.,0
LSI,HOME Inc.,1
Monsoon,HOME Inc.,0
NFC,HOME Inc.,2
Neighborhood Associations,HOME Inc.,1
Primary HC,HOME Inc.,1
PCHTF,HOME Inc.,2
PCHC,HOME Inc.,1
Rebuilding,HOME Inc.,1
The Tomorrow Plan,HOME Inc.,0
USCRI,HOME Inc.,1
United Way,HOME Inc.,2
Urban Dreams,HOME Inc.,1
YMCA,HOME Inc.,1
YESS,HOME Inc.,1
Iowa Coalition Against Domestic Violence,House of Mercy,0
Iowa Coalition agains Sexual Assault,House of Mercy,0
IFA,House of Mercy,0
Iowa Legal Aid,House of Mercy,0
Iowa HCR,House of Mercy,0
Latinas Unidas,House of Mercy,0
LSI,House of Mercy,0
Monsoon,House of Mercy,0
NFC,House of Mercy,0
Neighborhood Associations,House of Mercy,0
Primary HC,House of Mercy,2
PCHTF,House of Mercy,0
PCHC,House of Mercy,1
Rebuilding,House of Mercy,0
The Tomorrow Plan,House of Mercy,0
USCRI,House of Mercy,0
United Way,House of Mercy,0
Urban Dreams,House of Mercy,0
YMCA,House of Mercy,0
YESS,House of Mercy,0
Iowa Coalition agains Sexual Assault,Iowa Coalition Against Domestic Violence,0
IFA,Iowa Coalition Against Domestic Violence,0
Iowa Legal Aid,Iowa Coalition Against Domestic Violence,0
Iowa HCR,Iowa Coalition Against Domestic Violence,0
Latinas Unidas,Iowa Coalition Against Domestic Violence,0
LSI,Iowa Coalition Against Domestic Violence,0
Monsoon,Iowa Coalition Against Domestic Violence,0
NFC,Iowa Coalition Against Domestic Violence,0
Neighborhood Associations,Iowa Coalition Against Domestic Violence,0
Primary HC,Iowa Coalition Against Domestic Violence,1
PCHTF,Iowa Coalition Against Domestic Violence,1
PCHC,Iowa Coalition Against Domestic Violence,0
Rebuilding,Iowa Coalition Against Domestic Violence,0
The Tomorrow Plan,Iowa Coalition Against Domestic Violence,0
USCRI,Iowa Coalition Against Domestic Violence,1
United Way,Iowa Coalition Against Domestic Violence,0
Urban Dreams,Iowa Coalition Against Domestic Violence,0
YMCA,Iowa Coalition Against Domestic Violence,1
YESS,Iowa Coalition Against Domestic Violence,0
IFA,Iowa Coalition agains Sexual Assault,0
Iowa Legal Aid,Iowa Coalition agains Sexual Assault,0
Iowa HCR,Iowa Coalition agains Sexual Assault,0
Latinas Unidas,Iowa Coalition agains Sexual Assault,0
LSI,Iowa Coalition agains Sexual Assault,0
Monsoon,Iowa Coalition agains Sexual Assault,0
NFC,Iowa Coalition agains Sexual Assault,0
Neighborhood Associations,Iowa Coalition agains Sexual Assault,0
Primary HC,Iowa Coalition agains Sexual Assault,1
PCHTF,Iowa Coalition agains Sexual Assault,0
PCHC,Iowa Coalition agains Sexual Assault,0
Rebuilding,Iowa Coalition agains Sexual Assault,0
The Tomorrow Plan,Iowa Coalition agains Sexual Assault,0
USCRI,Iowa Coalition agains Sexual Assault,1
United Way,Iowa Coalition agains Sexual Assault,0
Urban Dreams,Iowa Coalition agains Sexual Assault,0
YMCA,Iowa Coalition agains Sexual Assault,0
YESS,Iowa Coalition agains Sexual Assault,0
Iowa Legal Aid,IFA,0
Iowa HCR,IFA,0
Latinas Unidas,IFA,0
LSI,IFA,0
Monsoon,IFA,0
NFC,IFA,1
Neighborhood Associations,IFA,0
Primary HC,IFA,1
PCHTF,IFA,2
PCHC,IFA,0
Rebuilding,IFA,0
The Tomorrow Plan,IFA,0
USCRI,IFA,0
United Way,IFA,0
Urban Dreams,IFA,0
YMCA,IFA,0
YESS,IFA,0
Iowa HCR,Iowa Legal Aid,0
Latinas Unidas,Iowa Legal Aid,0
LSI,Iowa Legal Aid,0
Monsoon,Iowa Legal Aid,0
NFC,Iowa Legal Aid,0
Neighborhood Associations,Iowa Legal Aid,0
Primary HC,Iowa Legal Aid,2
PCHTF,Iowa Legal Aid,2
PCHC,Iowa Legal Aid,1
Rebuilding,Iowa Legal Aid,1
The Tomorrow Plan,Iowa Legal Aid,0
USCRI,Iowa Legal Aid,0
United Way,Iowa Legal Aid,0
Urban Dreams,Iowa Legal Aid,0
YMCA,Iowa Legal Aid,1
YESS,Iowa Legal Aid,0
Latinas Unidas,Iowa HCR,0
LSI,Iowa HCR,0
Monsoon,Iowa HCR,0
NFC,Iowa HCR,0
Neighborhood Associations,Iowa HCR,0
Primary HC,Iowa HCR,1
PCHTF,Iowa HCR,0
PCHC,Iowa HCR,0
Rebuilding,Iowa HCR,0
The Tomorrow Plan,Iowa HCR,0
USCRI,Iowa HCR,0
United Way,Iowa HCR,0
Urban Dreams,Iowa HCR,0
YMCA,Iowa HCR,0
YESS,Iowa HCR,0
LSI,Latinas Unidas,0
Monsoon,Latinas Unidas,0
NFC,Latinas Unidas,0
Neighborhood Associations,Latinas Unidas,0
Primary HC,Latinas Unidas,0
PCHTF,Latinas Unidas,0
PCHC,Latinas Unidas,0
Rebuilding,Latinas Unidas,0
The Tomorrow Plan,Latinas Unidas,0
USCRI,Latinas Unidas,1
United Way,Latinas Unidas,0
Urban Dreams,Latinas Unidas,0
YMCA,Latinas Unidas,0
YESS,Latinas Unidas,0
Monsoon,LSI,2
NFC,LSI,0
Neighborhood Associations,LSI,0
Primary HC,LSI,0
PCHTF,LSI,0
PCHC,LSI,0
Rebuilding,LSI,0
The Tomorrow Plan,LSI,1
USCRI,LSI,1
United Way,LSI,2
Urban Dreams,LSI,0
YMCA,LSI,0
YESS,LSI,0
NFC,Monsoon,0
Neighborhood Associations,Monsoon,0
Primary HC,Monsoon,1
PCHTF,Monsoon,0
PCHC,Monsoon,0
Rebuilding,Monsoon,0
The Tomorrow Plan,Monsoon,0
USCRI,Monsoon,1
United Way,Monsoon,0
Urban Dreams,Monsoon,0
YMCA,Monsoon,0
YESS,Monsoon,0
Neighborhood Associations,NFC,2
Primary HC,NFC,1
PCHTF,NFC,2
PCHC,NFC,1
Rebuilding,NFC,1
The Tomorrow Plan,NFC,1
USCRI,NFC,1
United Way,NFC,0
Urban Dreams,NFC,0
YMCA,NFC,0
YESS,NFC,0
Primary HC,Neighborhood Associations,1
PCHTF,Neighborhood Associations,1
PCHC,Neighborhood Associations,0
Rebuilding,Neighborhood Associations,2
The Tomorrow Plan,Neighborhood Associations,0
USCRI,Neighborhood Associations,0
United Way,Neighborhood Associations,0
Urban Dreams,Neighborhood Associations,0
YMCA,Neighborhood Associations,0
YESS,Neighborhood Associations,0
PCHTF,Primary HC,2
PCHC,Primary HC,2
Rebuilding,Primary HC,1
The Tomorrow Plan,Primary HC,0
USCRI,Primary HC,1
United Way,Primary HC,2
Urban Dreams,Primary HC,1
YMCA,Primary HC,2
YESS,Primary HC,2
PCHC,PCHTF,1
Rebuilding,PCHTF,2
The Tomorrow Plan,PCHTF,2
USCRI,PCHTF,0
United Way,PCHTF,2
Urban Dreams,PCHTF,1
YMCA,PCHTF,2
YESS,PCHTF,1
Rebuilding,PCHC,1
The Tomorrow Plan,PCHC,1
USCRI,PCHC,2
United Way,PCHC,1
Urban Dreams,PCHC,1
YMCA,PCHC,0
YESS,PCHC,1
The Tomorrow Plan,Rebuilding,1
USCRI,Rebuilding,1
United Way,Rebuilding,1
Urban Dreams,Rebuilding,0
YMCA,Rebuilding,0
YESS,Rebuilding,0
USCRI,The Tomorrow Plan,0
United Way,The Tomorrow Plan,0
Urban Dreams,The Tomorrow Plan,0
YMCA,The Tomorrow Plan,0
YESS,The Tomorrow Plan,0
United Way,USCRI,1
Urban Dreams,USCRI,0
YMCA,USCRI,0
YESS,USCRI,0
Urban Dreams,United Way,0
YMCA,United Way,1
YESS,United Way,1
YMCA,Urban Dreams,0
YESS,Urban Dreams,0
YMCA ,YESS,0
AARP,Oakridge,0
Anawim Housing,Oakridge,1
Beacon of Life ,Oakridge,1
Bridges of Iowa,Oakridge,0
Capax Infiniti,Oakridge,0
Catholic Charities,Oakridge,1
Central Iowa Regional Housing Authority,Oakridge,0
CISS,Oakridge,1
CHI,Oakridge,0
CFI,Oakridge,1
DSM CAA,Oakridge,1
DSM Housing Services,Oakridge,1
DSM Comm. Dev,Oakridge,1
DSM Nghr Cons. Srvs,Oakridge,0
WDM,Oakridge,0
Clive ,Oakridge,0
Windsor Heights,Oakridge,0
CommonBond,Oakridge,1
DSM HRC,Oakridge,1
DSM Neighbors,Oakridge,1
Eyerly Ball,Oakridge,1
GDM HfH,Oakridge,1
G DSM Partnership/ Cap Crossroads,Oakridge,2
Hawthorn Hill,Oakridge,0
Hope Ministries,Oakridge,0
HOME Inc.,Oakridge,1
House of Mercy,Oakridge,1
Iowa Coalition Against Domestic Violence,Oakridge,0
Iowa Coalition agains Sexual Assault,Oakridge,0
IFA,Oakridge,2
Iowa Legal Aid,Oakridge,1
Iowa HCR,Oakridge,1
Latinas Unidas,Oakridge,0
LSI,Oakridge,1
Monsoon,Oakridge,0
NFC,Oakridge,1
Neighborhood Associations,Oakridge,0
Primary HC,Oakridge,1
PCHTF,Oakridge,1
PCHC,Oakridge,1
Rebuilding,Oakridge,1
The Tomorrow Plan,Oakridge,1
USCRI,Oakridge,2
United Way,Oakridge,2
Urban Dreams,Oakridge,1
YMCA,Oakridge,2
YESS,Oakridge,0
AARP,Hubbell,0
Anawim Housing,Hubbell,2
Beacon of Life ,Hubbell,1
Bridges of Iowa,Hubbell,0
Capax Infiniti,Hubbell,0
Catholic Charities,Hubbell,0
Central Iowa Regional Housing Authority,Hubbell,1
CISS,Hubbell,1
CHI,Hubbell,1
CFI,Hubbell,2
DSM CAA,Hubbell,0
DSM Housing Services,Hubbell,1
DSM Comm. Dev,Hubbell,1
DSM Nghr Cons. Srvs,Hubbell,0
WDM,Hubbell,1
Clive ,Hubbell,1
Windsor Heights,Hubbell,0
CommonBond,Hubbell,1
DSM HRC,Hubbell,1
DSM Neighbors,Hubbell,1
Eyerly Ball,Hubbell,0
GDM HfH,Hubbell,1
G DSM Partnership/ Cap Crossroads,Hubbell,1
Hawthorn Hill,Hubbell,1
Hope Ministries,Hubbell,0
HOME Inc.,Hubbell,2
House of Mercy,Hubbell,1
Iowa Coalition Against Domestic Violence,Hubbell,2
Iowa Coalition agains Sexual Assault,Hubbell,0
IFA,Hubbell,1
Iowa Legal Aid,Hubbell,1
Iowa HCR,Hubbell,1
Latinas Unidas,Hubbell,0
LSI,Hubbell,1
Monsoon,Hubbell,0
NFC,Hubbell,1
Neighborhood Associations,Hubbell,0
Primary HC,Hubbell,0
PCHTF,Hubbell,2
PCHC,Hubbell,1
Rebuilding,Hubbell,0
The Tomorrow Plan,Hubbell,0
USCRI,Hubbell,0
United Way,Hubbell,0
Urban Dreams,Hubbell,2
YMCA,Hubbell,0
YESS,Hubbell,0
NFC,ISED Ventures,2
NFC,Metropolitan Properites,2
NFC,Newbury Development,2
