"departure city","long. departure (decimal)","lat. departure (decimal)","departure country","arrival city","long. departure (decimal)","lat. departure (decimal)","arrival country","number of routes","distance"
"Panama City",-78.973,9.118,"Panama","Orlando",-80.849,28.715,"United States",4,2187
"Panama City",-78.973,9.118,"Panama","Houston",-94.903,30.64,"United States",4,2907
"New Orleans",-89.764,30.655,"United States","Houston",-94.903,30.64,"United States",4,491
"Minneapolis",-92.703,45.469,"United States","Houston",-94.903,30.64,"United States",4,1659
"Orlando",-80.849,28.715,"United States","Panama City",-78.973,9.118,"Panama",4,2187
"Orlando",-80.849,28.715,"United States","Houston",-94.903,30.64,"United States",4,1373
"Las Vegas",-114.588,36.133,"United States","Houston",-94.903,30.64,"United States",4,1922
"Houston",-94.903,30.64,"United States","Tampa",-82.223,28.625,"United States",4,1245
"Houston",-94.903,30.64,"United States","Salt Lake City",-111.963,41.313,"United States",4,1934
"Houston",-94.903,30.64,"United States","San Francisco",-121.959,38.031,"United States",4,2605
"Houston",-94.903,30.64,"United States","San Antonio",-98.117,29.889,"United States",4,319
"Houston",-94.903,30.64,"United States","San Diego",-116.65,33.222,"United States",4,2068
"Houston",-94.903,30.64,"United States","Panama City",-78.973,9.118,"Panama",4,2907
"Houston",-94.903,30.64,"United States","New Orleans",-89.764,30.655,"United States",4,491
"Houston",-94.903,30.64,"United States","Orlando",-80.849,28.715,"United States",4,1373
"Houston",-94.903,30.64,"United States","Las Vegas",-114.588,36.133,"United States",4,1922
"Houston",-94.903,30.64,"United States","Fort Lauderdale",-79.588,26.12,"United States",4,1578
"Houston",-94.903,30.64,"United States","Newark",-73.615,41.154,"United States",4,2236
"Houston",-94.903,30.64,"United States","Baltimore",-76.448,39.292,"United States",4,1931
"Houston",-94.903,30.64,"United States","Austin",-97.45,30.324,"United States",4,246
"Fort Lauderdale",-79.588,26.12,"United States","Houston",-94.903,30.64,"United States",4,1578
"Newark",-73.615,41.154,"United States","Houston",-94.903,30.64,"United States",4,2236
"Detroit",-82.923,42.354,"United States","Houston",-94.903,30.64,"United States",4,1682
"Austin",-97.45,30.324,"United States","Houston",-94.903,30.64,"United States",4,246
"Wuxi",120.715,31.824,"China","Taipei",121.388,25.129,"Taiwan",4,747
"Wuhan",114.346,31.306,"China","Taipei",121.388,25.129,"Taiwan",4,973
"Taipei",121.388,25.129,"Taiwan","Wuxi",120.715,31.824,"China",4,747
"Taipei",121.388,25.129,"Taiwan","Wuhan",114.346,31.306,"China",4,973
"Port Moresby",147.366,-9.073,"Papua New Guinea","Brisbane",153.195,-26.974,"Australia",4,2082
"Brisbane",153.195,-26.974,"Australia","Port Moresby",147.366,-9.073,"Papua New Guinea",4,2082
"Yanji",129.752,43.471,"China","Seoul",126.75,37.781,"South Korea",4,681
"Yichang",111.735,31.118,"China","Shanghai",122.342,31.238,"China",4,1008
"Yuncheng",111.655,35.03,"China","Taiyuan",113.047,38.244,"China",4,378
"Xining",102.071,36.879,"China","Beijing",116.974,40.133,"China",4,1344
"Xiamen",118.212,24.906,"China","Singapore",104.657,1.583,"Singapore",4,2973
"Xiamen",118.212,24.906,"China","Guilin",110.065,25.363,"China",4,821
"Xi'an",109.252,34.745,"China","Jinan",117.359,37.428,"China",4,786
"Xi'an",109.252,34.745,"China","Qingdao",120.624,36.443,"China",4,1044
"Wuxi",120.715,31.824,"China","Shenzhen",114.351,23.065,"China",4,1158
"Wuxi",120.715,31.824,"China","Beijing",116.974,40.133,"China",4,983
"Wuxi",120.715,31.824,"China","Guangzhou",113.497,23.654,"China",4,1152
"Wuhan",114.346,31.306,"China","Jinan",117.359,37.428,"China",4,734
"Wuhan",114.346,31.306,"China","Guiyang",107.334,26.897,"China",4,838
"Wuhan",114.346,31.306,"China","Hong Kong",114.524,22.514,"Hong Kong",4,977
"Wuhan",114.346,31.306,"China","Haikou",110.764,20.558,"China",4,1247
"Wenzhou",121.42,28.52,"China","Qingdao",120.624,36.443,"China",4,884
"Wenzhou",121.42,28.52,"China","Shenzhen",114.351,23.065,"China",4,931
"Wenzhou",121.42,28.52,"China","Changcha",113.366,28.315,"China",4,787
"Weihai",122.381,37.311,"China","Seoul",126.75,37.781,"South Korea",4,388
"Urumqi",87.79,44.511,"China","Jinan",117.359,37.428,"China",4,2588
"Taiyuan",113.047,38.244,"China","Yuncheng",111.655,35.03,"China",4,378
"Taiyuan",113.047,38.244,"China","Shenzhen",114.351,23.065,"China",4,1692
"Taiyuan",113.047,38.244,"China","Shenyang",123.483,41.637,"China",4,965
"Tianjin",117.576,39.207,"China","Kunming",103.239,25.653,"China",4,2015
"Jinan",117.359,37.428,"China","Xi'an",109.252,34.745,"China",4,786
"Jinan",117.359,37.428,"China","Wuhan",114.346,31.306,"China",4,734
"Jinan",117.359,37.428,"China","Urumqi",87.79,44.511,"China",4,2588
"Jinan",117.359,37.428,"China","Seoul",126.75,37.781,"South Korea",4,827
"Jinan",117.359,37.428,"China","Hangzhou",120.724,30.382,"China",4,842
"Jinan",117.359,37.428,"China","Fuzhou",120.105,26.558,"China",4,1235
"Qingdao",120.624,36.443,"China","Xi'an",109.252,34.745,"China",4,1044
"Qingdao",120.624,36.443,"China","Shenzhen",114.351,23.065,"China",4,1605
"Qingdao",120.624,36.443,"China","Nanjing",119.436,32.236,"China",4,480
"Qingdao",120.624,36.443,"China","Osaka",135.406,34.724,"Japan",4,1348
"Qingdao",120.624,36.443,"China","Dalian",121.897,39.609,"China",4,369
"Qingdao",120.624,36.443,"China","Changcha",113.366,28.315,"China",4,1131
"Qingdao",120.624,36.443,"China","Changchun",125.2,43.902,"China",4,915
"Shenzhen",114.351,23.065,"China","Wuxi",120.715,31.824,"China",4,1158
"Shenzhen",114.351,23.065,"China","Wenzhou",121.42,28.52,"China",4,931
"Shenzhen",114.351,23.065,"China","Taiyuan",113.047,38.244,"China",4,1692
"Shenzhen",114.351,23.065,"China","Qingdao",120.624,36.443,"China",4,1605
"Shenzhen",114.351,23.065,"China","Nanning",108.287,23.013,"China",4,620
"Shenzhen",114.351,23.065,"China","Guiyang",107.334,26.897,"China",4,825
"Shenzhen",114.351,23.065,"China","Hefei",117.497,32.3,"China",4,1072
"Shenzhen",114.351,23.065,"China","Zhengzhou",114.401,34.866,"China",4,1312
"Sydney",151.295,-33.911,"Australia","Shanghai",122.342,31.238,"China",4,7854
"Moscow",38.51,55.681,"Russia","Beijing",116.974,40.133,"China",4,5758
"Singapore",104.657,1.583,"Singapore","Xiamen",118.212,24.906,"China",4,2973
"Singapore",104.657,1.583,"Singapore","Beijing",116.974,40.133,"China",4,4463
"Shenyang",123.483,41.637,"China","Taiyuan",113.047,38.244,"China",4,965
"Shenyang",123.483,41.637,"China","Tokyo",140.643,36.274,"Japan",4,1595
"San Francisco",-121.959,38.031,"United States","Shanghai",122.342,31.238,"China",4,9832
"San Francisco",-121.959,38.031,"United States","Beijing",116.974,40.133,"China",4,9456
"Shanghai",122.342,31.238,"China","Yichang",111.735,31.118,"China",4,1008
"Shanghai",122.342,31.238,"China","Sydney",151.295,-33.911,"Australia",4,7854
"Shanghai",122.342,31.238,"China","San Francisco",-121.959,38.031,"United States",4,9832
"Shanghai",122.342,31.238,"China","Fukuoka",130.751,33.976,"Japan",4,844
"Busan",129.563,35.299,"South Korea","Beijing",116.974,40.133,"China",4,1229
"Beijing",116.974,40.133,"China","Xining",102.071,36.879,"China",4,1344
"Beijing",116.974,40.133,"China","Wuxi",120.715,31.824,"China",4,983
"Beijing",116.974,40.133,"China","Moscow",38.51,55.681,"Russia",4,5758
"Beijing",116.974,40.133,"China","Singapore",104.657,1.583,"Singapore",4,4463
"Beijing",116.974,40.133,"China","Shenyang",123.483,41.637,"China",4,572
"Beijing",116.974,40.133,"China","San Francisco",-121.959,38.031,"United States",4,9456
"Beijing",116.974,40.133,"China","Busan",129.563,35.299,"South Korea",4,1229
"Beijing",116.974,40.133,"China","Nanning",108.287,23.013,"China",4,2071
"Beijing",116.974,40.133,"China","Qiqihar",124.53,47.399,"China",4,1009
"Beijing",116.974,40.133,"China","Kuala Lumpur",102.183,3.242,"Malaysia",4,4363
"Beijing",116.974,40.133,"China","Jiamusi",130.775,47.405,"China",4,1368
"Beijing",116.974,40.133,"China","Quanzhou",118.983,25.327,"China",4,1656
"Beijing",116.974,40.133,"China","Washington",-77.094,39.574,"United States",4,11037
"Beijing",116.974,40.133,"China","Hailar",120.375,49.341,"China",4,1058
"Beijing",116.974,40.133,"China","Haikou",110.764,20.558,"China",4,2255
"Beijing",116.974,40.133,"China","Zhengzhou",114.401,34.866,"China",4,628
"Beijing",116.974,40.133,"China","Bangkok",101.245,14.135,"Thailand",4,3271
"Tokyo",140.643,36.274,"Japan","Shenyang",123.483,41.637,"China",4,1595
"Nanning",108.287,23.013,"China","Shenzhen",114.351,23.065,"China",4,620
"Nanning",108.287,23.013,"China","Beijing",116.974,40.133,"China",4,2071
"Nanjing",119.436,32.236,"China","Qingdao",120.624,36.443,"China",4,480
"Nanjing",119.436,32.236,"China","Guilin",110.065,25.363,"China",4,1189
"Nanjing",119.436,32.236,"China","Changchun",125.2,43.902,"China",4,1390
"Qiqihar",124.53,47.399,"China","Beijing",116.974,40.133,"China",4,1009
"Madrid",-3.278,40.822,"Spain","Sao Paulo",-46.116,-23.054,"Brazil",4,8367
"Guilin",110.065,25.363,"China","Xiamen",118.212,24.906,"China",4,821
"Guilin",110.065,25.363,"China","Beijing",116.974,40.133,"China",4,1763
"Guilin",110.065,25.363,"China","Nanjing",119.436,32.236,"China",4,1189
"Guilin",110.065,25.363,"China","Hangzhou",120.724,30.382,"China",4,1186
"Guiyang",107.334,26.897,"China","Wuhan",114.346,31.306,"China",4,838
"Guiyang",107.334,26.897,"China","Shenzhen",114.351,23.065,"China",4,825
"Guiyang",107.334,26.897,"China","Hangzhou",120.724,30.382,"China",4,1361
"Guiyang",107.334,26.897,"China","Chongqing",107.069,30.198,"China",4,367
"Guiyang",107.334,26.897,"China","Guangzhou",113.497,23.654,"China",4,716
"Kuala Lumpur",102.183,3.242,"Malaysia","Beijing",116.974,40.133,"China",4,4363
"Kunming",103.239,25.653,"China","Tianjin",117.576,39.207,"China",4,2015
"Kunming",103.239,25.653,"China","Guangzhou",113.497,23.654,"China",4,1059
"Osaka",135.406,34.724,"Japan","Qingdao",120.624,36.443,"China",4,1348
"Jiamusi",130.775,47.405,"China","Beijing",116.974,40.133,"China",4,1368
"Quanzhou",118.983,25.327,"China","Beijing",116.974,40.133,"China",4,1656
"Quanzhou",118.983,25.327,"China","Guangzhou",113.497,23.654,"China",4,585
"Seoul",126.75,37.781,"South Korea","Yanji",129.752,43.471,"China",4,681
"Seoul",126.75,37.781,"South Korea","Weihai",122.381,37.311,"China",4,388
"Seoul",126.75,37.781,"South Korea","Jinan",117.359,37.428,"China",4,827
"Seoul",126.75,37.781,"South Korea","Dalian",121.897,39.609,"China",4,467
"Washington",-77.094,39.574,"United States","Beijing",116.974,40.133,"China",4,11037
"Hailar",120.375,49.341,"China","Beijing",116.974,40.133,"China",4,1058
"Hong Kong",114.524,22.514,"Hong Kong","Wuhan",114.346,31.306,"China",4,977
"Hangzhou",120.724,30.382,"China","Jinan",117.359,37.428,"China",4,842
"Hangzhou",120.724,30.382,"China","Guilin",110.065,25.363,"China",4,1186
"Hangzhou",120.724,30.382,"China","Guiyang",107.334,26.897,"China",4,1361
"Hefei",117.497,32.3,"China","Shenzhen",114.351,23.065,"China",4,1072
"Haikou",110.764,20.558,"China","Wuhan",114.346,31.306,"China",4,1247
"Haikou",110.764,20.558,"China","Beijing",116.974,40.133,"China",4,2255
"Haikou",110.764,20.558,"China","Fuzhou",120.105,26.558,"China",4,1161
"Sao Paulo",-46.116,-23.054,"Brazil","Madrid",-3.278,40.822,"Spain",4,8367
"Fukuoka",130.751,33.976,"Japan","Shanghai",122.342,31.238,"China",4,844
"Fuzhou",120.105,26.558,"China","Jinan",117.359,37.428,"China",4,1235
"Fuzhou",120.105,26.558,"China","Haikou",110.764,20.558,"China",4,1161
"Dalian",121.897,39.609,"China","Qingdao",120.624,36.443,"China",4,369
"Dalian",121.897,39.609,"China","Seoul",126.75,37.781,"South Korea",4,467
"Dalian",121.897,39.609,"China","Changchun",125.2,43.902,"China",4,550
"Changcha",113.366,28.315,"China","Wenzhou",121.42,28.52,"China",4,787
"Changcha",113.366,28.315,"China","Qingdao",120.624,36.443,"China",4,1131
"Chongqing",107.069,30.198,"China","Guiyang",107.334,26.897,"China",4,367
"Changchun",125.2,43.902,"China","Qingdao",120.624,36.443,"China",4,915
"Changchun",125.2,43.902,"China","Nanjing",119.436,32.236,"China",4,1390
"Changchun",125.2,43.902,"China","Dalian",121.897,39.609,"China",4,550
"Changchun",125.2,43.902,"China","Guangzhou",113.497,23.654,"China",4,2491
"Zhengzhou",114.401,34.866,"China","Shenzhen",114.351,23.065,"China",4,1312
"Zhengzhou",114.401,34.866,"China","Beijing",116.974,40.133,"China",4,628
"Zhengzhou",114.401,34.866,"China","Guangzhou",113.497,23.654,"China",4,1249
"Guangzhou",113.497,23.654,"China","Wuxi",120.715,31.824,"China",4,1152
"Guangzhou",113.497,23.654,"China","Shenyang",123.483,41.637,"China",4,2203
"Guangzhou",113.497,23.654,"China","Guiyang",107.334,26.897,"China",4,716
"Guangzhou",113.497,23.654,"China","Kunming",103.239,25.653,"China",4,1059
"Guangzhou",113.497,23.654,"China","Quanzhou",118.983,25.327,"China",4,585
"Guangzhou",113.497,23.654,"China","Changcha",113.366,28.315,"China",4,518
"Guangzhou",113.497,23.654,"China","Changchun",125.2,43.902,"China",4,2491
"Guangzhou",113.497,23.654,"China","Zhengzhou",114.401,34.866,"China",4,1249
"Bangkok",101.245,14.135,"Thailand","Beijing",116.974,40.133,"China",4,3271
"Malabo",9.181,4.258,"Equatorial Guinea","Douala",10.199,4.01,"Cameroon",4,116
"Douala",10.199,4.01,"Cameroon","Malabo",9.181,4.258,"Equatorial Guinea",4,116
"Busan",129.563,35.299,"South Korea","Fukuoka",130.751,33.976,"Japan",4,182
"Fukuoka",130.751,33.976,"Japan","Busan",129.563,35.299,"South Korea",4,182
"Riga",24.618,57.539,"Latvia","Moscow",38.51,55.681,"Russia",4,873
"Riga",24.618,57.539,"Latvia","Stockholm",18.531,60.086,"Sweden",4,450
"Donetsk",38.232,48.122,"Ukraine","Kiev",31.491,50.575,"Ukraine",4,559
"Moscow",38.51,55.681,"Russia","Riga",24.618,57.539,"Latvia",4,873
"Stockholm",18.531,60.086,"Sweden","Riga",24.618,57.539,"Latvia",4,450
"Taipei",121.388,25.129,"Taiwan","Beijing",116.974,40.133,"China",4,1718
"Taipei",121.388,25.129,"Taiwan","Kuala Lumpur",102.183,3.242,"Malaysia",4,3185
"Taipei",121.388,25.129,"Taiwan","Hangzhou",120.724,30.382,"China",4,587
"Taipei",121.388,25.129,"Taiwan","Haikou",110.764,20.558,"China",4,1200
"Taipei",121.388,25.129,"Taiwan","Guangzhou",113.497,23.654,"China",4,815
"Taipei",121.388,25.129,"Taiwan","Bangkok",101.245,14.135,"Thailand",4,2433
"Beijing",116.974,40.133,"China","Taipei",121.388,25.129,"Taiwan",4,1718
"Kuala Lumpur",102.183,3.242,"Malaysia","Taipei",121.388,25.129,"Taiwan",4,3185
"Hangzhou",120.724,30.382,"China","Taipei",121.388,25.129,"Taiwan",4,587
"Haikou",110.764,20.558,"China","Taipei",121.388,25.129,"Taiwan",4,1200
"Guangzhou",113.497,23.654,"China","Taipei",121.388,25.129,"Taiwan",4,815
"Bangkok",101.245,14.135,"Thailand","Taipei",121.388,25.129,"Taiwan",4,2433
"Riyadh",47.164,25.596,"Saudi Arabia","Bahrain",51.056,26.451,"Bahrain",4,400
"Bahrain",51.056,26.451,"Bahrain","Riyadh",47.164,25.596,"Saudi Arabia",4,400
"Yantai",121.619,37.669,"China","Dalian",121.897,39.609,"China",4,217
"Xi'an",109.252,34.745,"China","Tianjin",117.576,39.207,"China",4,889
"Tianjin",117.576,39.207,"China","Xi'an",109.252,34.745,"China",4,889
"Tianjin",117.576,39.207,"China","Zhengzhou",114.401,34.866,"China",4,558
"Dalian",121.897,39.609,"China","Yantai",121.619,37.669,"China",4,217
"Zhengzhou",114.401,34.866,"China","Tianjin",117.576,39.207,"China",4,558
"Muscat",58.474,23.988,"Oman","Karachi",67.267,25.51,"Pakistan",4,903
"Karachi",67.267,25.51,"Pakistan","Muscat",58.474,23.988,"Oman",4,903
"Doha",51.941,25.435,"Qatar","Dubai",55.607,25.421,"United Arab Emirates",4,368
"Stavanger",6.063,59.461,"Norway","London",-0.103,51.795,"United Kingdom",4,935
"Malta",14.795,36.429,"Malta","Manchester",-1.792,53.589,"United Kingdom",4,2298
"Mombasa",39.99,-3.392,"Kenya","Addis Ababa",39.332,9.629,"Ethiopia",4,1449
"Manchester",-1.792,53.589,"United Kingdom","Malta",14.795,36.429,"Malta",4,2298
"Manchester",-1.792,53.589,"United Kingdom","Newark",-73.615,41.154,"United States",4,5338
"Manchester",-1.792,53.589,"United Kingdom","Copenhagen",13.093,56.029,"Denmark",4,989
"Manchester",-1.792,53.589,"United Kingdom","Abu Dhabi",55.085,24.721,"United Arab Emirates",4,5655
"Luxor",33.177,26.118,"Egypt","London",-0.103,51.795,"United Kingdom",4,3990
"London",-0.103,51.795,"United Kingdom","Stavanger",6.063,59.461,"Norway",4,935
"London",-0.103,51.795,"United Kingdom","Luxor",33.177,26.118,"Egypt",4,3990
"London",-0.103,51.795,"United Kingdom","Bergen",5.363,60.488,"Norway",4,1023
"Glasgow",-4.056,56.453,"United Kingdom","Newark",-73.615,41.154,"United States",4,5122
"Newark",-73.615,41.154,"United States","Manchester",-1.792,53.589,"United Kingdom",4,5338
"Newark",-73.615,41.154,"United States","Glasgow",-4.056,56.453,"United Kingdom",4,5122
"Newark",-73.615,41.154,"United States","Edinburgh",-2.955,56.583,"United Kingdom",4,5185
"Newark",-73.615,41.154,"United States","Birmingham",-1.581,52.756,"United Kingdom",4,5377
"Edinburgh",-2.955,56.583,"United Kingdom","Newark",-73.615,41.154,"United States",4,5185
"Copenhagen",13.093,56.029,"Denmark","Manchester",-1.792,53.589,"United Kingdom",4,989
"Birmingham",-1.581,52.756,"United Kingdom","Newark",-73.615,41.154,"United States",4,5377
"Bergen",5.363,60.488,"Norway","London",-0.103,51.795,"United Kingdom",4,1023
"Abu Dhabi",55.085,24.721,"United Arab Emirates","Manchester",-1.792,53.589,"United Kingdom",4,5655
"Okinawa",128.076,26.326,"Japan","Fukuoka",130.751,33.976,"Japan",4,888
"Tokyo",140.643,36.274,"Japan","Asahikawa",142.745,44.118,"Japan",4,890
"Fukuoka",130.751,33.976,"Japan","Okinawa",128.076,26.326,"Japan",4,888
"Asahikawa",142.745,44.118,"Japan","Tokyo",140.643,36.274,"Japan",4,890
"Tel-aviv",35.477,32.018,"Israel","London",-0.103,51.795,"United Kingdom",4,3617
"Singapore",104.657,1.583,"Singapore","Adelaide",138.884,-34.909,"Australia",4,5398
"Marrakech",-7.394,32.011,"Morocco","London",-0.103,51.795,"United Kingdom",4,2278
"Shanghai",122.342,31.238,"China","London",-0.103,51.795,"United Kingdom",4,9216
"Prague",14.433,50.168,"Czech Republic","London",-0.103,51.795,"United Kingdom",4,1031
"Port Elizabeth",26.028,-33.975,"South Africa","Cape Town",19.002,-33.942,"South Africa",4,647
"Oslo",11.167,60.323,"Norway","London",-0.103,51.795,"United Kingdom",4,1175
"Maputo",32.954,-25.869,"Mozambique","Johannesburg",28.41,-25.566,"South Africa",4,456
"Manchester",-1.792,53.589,"United Kingdom","Madrid",-3.278,40.822,"Spain",4,1423
"Manchester",-1.792,53.589,"United Kingdom","Duesseldorf",7.277,51.482,"Germany",4,656
"Madrid",-3.278,40.822,"Spain","Manchester",-1.792,53.589,"United Kingdom",4,1423
"London",-0.103,51.795,"United Kingdom","Tel-aviv",35.477,32.018,"Israel",4,3617
"London",-0.103,51.795,"United Kingdom","Shanghai",122.342,31.238,"China",4,9216
"London",-0.103,51.795,"United Kingdom","Prague",14.433,50.168,"Czech Republic",4,1031
"London",-0.103,51.795,"United Kingdom","Oslo",11.167,60.323,"Norway",4,1175
"London",-0.103,51.795,"United Kingdom","Johannesburg",28.41,-25.566,"South Africa",4,9040
"London",-0.103,51.795,"United Kingdom","Cape Town",19.002,-33.942,"South Africa",4,9713
"London",-0.103,51.795,"United Kingdom","Amman",36.655,32.204,"Jordan",4,3676
"London",-0.103,51.795,"United Kingdom","Marrakech",-7.394,32.011,"Morocco",4,2278
"London",-0.103,51.795,"United Kingdom","Isle Of Man",-4.374,54.138,"Isle of Man",4,386
"London",-0.103,51.795,"United Kingdom","Inverness",-3.413,57.904,"United Kingdom",4,711
"London",-0.103,51.795,"United Kingdom","Cancun",-86.796,21.06,"Mexico",4,7961
"Johannesburg",28.41,-25.566,"South Africa","Port Elizabeth",26.028,-33.975,"South Africa",4,962
"Johannesburg",28.41,-25.566,"South Africa","London",-0.103,51.795,"United Kingdom",4,9040
"Isle Of Man",-4.374,54.138,"Isle of Man","London",-0.103,51.795,"United Kingdom",4,386
"Inverness",-3.413,57.904,"United Kingdom","London",-0.103,51.795,"United Kingdom",4,711
"Johannesburg",28.41,-25.566,"South Africa","Maputo",32.954,-25.869,"Mozambique",4,456
"Johannesburg",28.41,-25.566,"South Africa","George",22.631,-33.343,"South Africa",4,1029
"George",22.631,-33.343,"South Africa","Johannesburg",28.41,-25.566,"South Africa",4,1029
"Duesseldorf",7.277,51.482,"Germany","Manchester",-1.792,53.589,"United Kingdom",4,656
"Duesseldorf",7.277,51.482,"Germany","Birmingham",-1.581,52.756,"United Kingdom",4,620
"Cape Town",19.002,-33.942,"South Africa","Port Elizabeth",26.028,-33.975,"South Africa",4,647
"Cape Town",19.002,-33.942,"South Africa","London",-0.103,51.795,"United Kingdom",4,9713
"Birmingham",-1.581,52.756,"United Kingdom","Duesseldorf",7.277,51.482,"Germany",4,620
"Amman",36.655,32.204,"Jordan","London",-0.103,51.795,"United Kingdom",4,3676
"Adelaide",138.884,-34.909,"Australia","Singapore",104.657,1.583,"Singapore",4,5398
"Teheran",51.522,36.148,"Iran","Yazd",54.46,32.508,"Iran",4,486
"Yazd",54.46,32.508,"Iran","Teheran",51.522,36.148,"Iran",4,486
"Xi'an",109.252,34.745,"China","Taipei",121.388,25.129,"Taiwan",4,1582
"Taipei",121.388,25.129,"Taiwan","Xi'an",109.252,34.745,"China",4,1582
"Taipei",121.388,25.129,"Taiwan","Qingdao",120.624,36.443,"China",4,1260
"Taipei",121.388,25.129,"Taiwan","Shenzhen",114.351,23.065,"China",4,750
"Taipei",121.388,25.129,"Taiwan","Fuzhou",120.105,26.558,"China",4,204
"Taipei",121.388,25.129,"Taiwan","Dalian",121.897,39.609,"China",4,1610
"Qingdao",120.624,36.443,"China","Taipei",121.388,25.129,"Taiwan",4,1260
"Shenzhen",114.351,23.065,"China","Taipei",121.388,25.129,"Taiwan",4,750
"Ho Chi Minh City",107.086,11.364,"Vietnam","Kaohsiung",120.583,22.961,"Taiwan",4,1925
"Kaohsiung",120.583,22.961,"Taiwan","Ho Chi Minh City",107.086,11.364,"Vietnam",4,1925
"Fuzhou",120.105,26.558,"China","Taipei",121.388,25.129,"Taiwan",4,204
"Dalian",121.897,39.609,"China","Taipei",121.388,25.129,"Taiwan",4,1610
"San Francisco",-121.959,38.031,"United States","Austin",-97.45,30.324,"United States",4,2403
"Phoenix",-111.353,33.723,"United States","Boston",-70.342,42.607,"United States",4,3679
"New York",-73.632,41.066,"United States","Burlington",-72.589,44.786,"United States",4,422
"Fort Lauderdale",-79.588,26.12,"United States","Washington",-77.094,39.574,"United States",4,1513
"Newark",-73.615,41.154,"United States","Boston",-70.342,42.607,"United States",4,315
"Washington",-77.094,39.574,"United States","Fort Lauderdale",-79.588,26.12,"United States",4,1513
"Burlington",-72.589,44.786,"United States","New York",-73.632,41.066,"United States",4,422
"Boston",-70.342,42.607,"United States","Phoenix",-111.353,33.723,"United States",4,3679
"Boston",-70.342,42.607,"United States","Newark",-73.615,41.154,"United States",4,315
"Austin",-97.45,30.324,"United States","San Francisco",-121.959,38.031,"United States",4,2403
"Valencia",-0.137,39.815,"Spain","Rome",12.417,42.34,"Italy",4,1087
"Vigo",-8.378,42.386,"Spain","Madrid",-3.278,40.822,"Spain",4,458
"Berlin",13.479,52.932,"Germany","Amsterdam",5.273,52.514,"Netherlands",4,554
"Torino",8.082,45.334,"Italy","Moscow",38.51,55.681,"Russia",4,2412
"Tyumen",65.54,57.315,"Russia","Moscow",38.51,55.681,"Russia",4,1657
"Moscow",38.51,55.681,"Russia","Torino",8.082,45.334,"Italy",4,2412
"Moscow",38.51,55.681,"Russia","Tyumen",65.54,57.315,"Russia",4,1657
"Prague",14.433,50.168,"Czech Republic","Rome",12.417,42.34,"Italy",4,884
"Palermo",13.151,38.293,"Italy","Rome",12.417,42.34,"Italy",4,454
"Porto",-8.469,41.413,"Portugal","Milano",9.213,46.051,"Italy",4,1507
"Milano",9.213,46.051,"Italy","Porto",-8.469,41.413,"Portugal",4,1507
"Madrid",-3.278,40.822,"Spain","Vigo",-8.378,42.386,"Spain",4,458
"Lagos",3.535,6.962,"Nigeria","Accra",0.388,6.008,"Ghana",4,363
"Istanbul",29.357,41.628,"Turkey","Rome",12.417,42.34,"Italy",4,1400
"Bishkek",74.795,43.102,"Kyrgyzstan","Moscow",38.51,55.681,"Russia",4,2928
"Frankfurt",8.905,50.044,"Germany","Abu Dhabi",55.085,24.721,"United Arab Emirates",4,4845
"Rome",12.417,42.34,"Italy","Valencia",-0.137,39.815,"Spain",4,1087
"Rome",12.417,42.34,"Italy","Prague",14.433,50.168,"Czech Republic",4,884
"Rome",12.417,42.34,"Italy","Palermo",13.151,38.293,"Italy",4,454
"Rome",12.417,42.34,"Italy","Istanbul",29.357,41.628,"Turkey",4,1400
"Rome",12.417,42.34,"Italy","Barcelona",2.13,41.495,"Spain",4,855
"Dubai",55.607,25.421,"United Arab Emirates","Amsterdam",5.273,52.514,"Netherlands",4,5143
"Copenhagen",13.093,56.029,"Denmark","Amsterdam",5.273,52.514,"Netherlands",4,640
"Bangkok",101.245,14.135,"Thailand","Abu Dhabi",55.085,24.721,"United Arab Emirates",4,4957
"Barcelona",2.13,41.495,"Spain","Rome",12.417,42.34,"Italy",4,855
"Barcelona",2.13,41.495,"Spain","Las Palmas",-13.343,29.575,"Spain",4,1922
"Abu Dhabi",55.085,24.721,"United Arab Emirates","Johannesburg",28.41,-25.566,"South Africa",4,6284
"Abu Dhabi",55.085,24.721,"United Arab Emirates","Frankfurt",8.905,50.044,"Germany",4,4845
"Abu Dhabi",55.085,24.721,"United Arab Emirates","Bangkok",101.245,14.135,"Thailand",4,4957
"Amsterdam",5.273,52.514,"Netherlands","Berlin",13.479,52.932,"Germany",4,554
"Amsterdam",5.273,52.514,"Netherlands","Copenhagen",13.093,56.029,"Denmark",4,640
"Las Palmas",-13.343,29.575,"Spain","Barcelona",2.13,41.495,"Spain",4,1922
"Oslo",11.167,60.323,"Norway","Helsinki",25.605,60.528,"Finland",4,791
"Helsinki",25.605,60.528,"Finland","Oslo",11.167,60.323,"Norway",4,791
"Helsinki",25.605,60.528,"Finland","Brussels",4.807,51.502,"Belgium",4,1624
"Brussels",4.807,51.502,"Belgium","Helsinki",25.605,60.528,"Finland",4,1624
"San Salvador",-88.427,13.734,"El Salvador","Managua",-85.614,12.235,"Nicaragua",4,347
"Brazzaville",15.421,-3.753,"Congo (Kinshasa)","Pointe-noire",12.477,-4.694,"Congo (Brazzaville)",4,342
"San Jose Del Cabo",-109.536,23.253,"Mexico","San Francisco",-121.959,38.031,"United States",4,2023
